b_range,S,energy_mev,radius_fm,prob_bare,prob_dressed
2.2105263157894735,31.711001219441442,-2.21021129,2.12517917,0.97376477,0.02623523
2.2105263157894735,31.728146113271432,-2.22693403,2.1188105,0.9736292,0.0263708
2.2105263157894735,33.25970626272643,-3.45575092,1.84526845,0.96642955,0.03357045
2.2105263157894735,35.75970626272643,-5.97033255,1.58787174,0.95455654,0.04544346
2.2105263157894735,38.25970626272643,-9.07374012,1.43840193,0.94250548,0.05749452
2.3157894736842106,26.619187892178815,-0.33144569,4.47917475,0.99077316,0.00922684
2.3157894736842106,29.119187892178815,-1.45621665,2.4777378,0.97971011,0.02028989
2.3157894736842106,30.157448068458066,-2.13983265,2.16891875,0.97497533,0.02502467
2.3157894736842106,30.263043925047757,-2.2201246,2.14373309,0.97442084,0.02557916
2.3157894736842106,31.619187892178815,-3.30494245,1.89119765,0.96815615,0.03184385
2.3157894736842106,34.119187892178815,-5.81359721,1.61835961,0.95625438,0.04374562
2.3157894736842106,36.619187892178815,-8.91487147,1.46232142,0.9443119,0.0556881
2.4210526315789473,25.157448068458066,-0.27476598,4.83877742,0.99193915,0.00806085
2.4210526315789473,27.657448068458066,-1.36383423,2.55999765,0.9809534,0.0190466
2.4210526315789473,28.83669147120745,-2.1363585,2.19491426,0.97564247,0.02435753
2.4210526315789473,28.946824466087357,-2.2140183,2.1659617,0.97516219,0.02483781
2.4210526315789473,30.157448068458066,-3.18738857,1.93281394,0.96957988,0.03042012
2.4210526315789473,32.657448068458066,-5.67805012,1.64815231,0.9579536,0.0420464
2.4210526315789473,35.157448068458066,-8.78624213,1.48628363,0.94612208,0.05387792
2.526315789473684,23.83669147120745,-0.23192974,5.27751166,0.99282709,0.00717291
2.526315789473684,26.33669147120745,-1.27523021,2.64353026,0.98217775,0.01782225
2.526315789473684,27.650479583637548,-2.13014011,2.21468353,0.97634713,0.02365287
2.526315789473684,27.767615679396283,-2.21217446,2.18660298,0.97584515,0.02415485
2.526315789473684,27.782172865570878,-2.23096907,2.17933009,0.97571778,0.02428222
2.526315789473684,28.836691471207445,-3.0806389,1.97407808,0.97091938,0.02908062
2.526315789473684,31.336691471207445,-5.57240129,1.67508767,0.95928126,0.04071874
2.526315789473684,33.836691471207445,-8.69179543,1.50793799,0.94741432,0.05258568
2.6315789473684212,22.650479583637548,-0.18819171,5.82361151,0.99381401,0.00618599
2.6315789473684212,25.150479583637548,-1.20867192,2.71656804,0.98312853,0.01687147
2.6315789473684212,26.576390930800656,-2.14051125,2.2348111,0.97686096,0.02313904
2.6315789473684212,26.682101609450374,-2.21804364,2.20428537,0.97640521,0.02359479
2.6315789473684212,27.650479583637548,-2.98881078,2.01123597,0.97218587,0.02781413
2.6315789473684212,30.150479583637548,-5.48757452,1.70141568,0.96053351,0.03946649
2.6315789473684212,32.65047958363755,-8.60858078,1.52961857,0.94883042,0.05116958
2.736842105263158,21.576390930800656,-0.1674116,6.18284874,0.99432563,0.00567437
2.736842105263158,24.076390930800656,-1.14597882,2.78919263,0.98412153,0.01587847
2.736842105263158,25.593092574621377,-2.14115787,2.2512138,0.9774061,0.0225939
2.736842105263158,25.697294410043813,-2.21855632,2.225995,0.97696378,0.02303622
2.736842105263158,26.576390930800656,-2.92289583,2.04573301,0.97310979,0.02689021
2.736842105263158,29.076390930800656,-5.41867193,1.72536707,0.96161071,0.03838929
2.736842105263158,31.576390930800656,-8.56259012,1.54975276,0.94989124,0.05010876
2.8421052631578947,20.593092574621377,-0.14505437,6.60684672,0.99487647,0.00512353
2.8421052631578947,23.093092574621377,-1.10335628,2.85039204,0.98478887,0.01521113
2.8421052631578947,24.681989662235882,-2.13332502,2.27478367,0.97806127,0.02193873
2.8421052631578947,24.79465474641526,-2.22183593,2.24541011,0.97750955,0.02249045
2.8421052631578947,25.593092574621377,-2.86659779,2.07745847,0.97400412,0.02599588
2.8421052631578947,28.093092574621377,-5.3560242,1.75045954,0.96272183,0.03727817
